uid, iter, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done
unit.000038, 1, sim, 1463697959.58, 1463697977.34, 1463697977.34, 1463697978.09, 1463697978.1, 1463698101.93, 1463698101.96,1463698101.97, 1463698211.39, 1463698211.52, 1463698211.53, 1463698213.31, 1463698213.34
unit.000039, 1, sim, 1463697959.58, 1463697977.49, 1463697977.49, 1463697978.28, 1463697978.28, 1463698103.97, 1463698104.0,1463698104.01, 1463698213.06, 1463698213.07, 1463698213.17, 1463698214.43, 1463698214.46
unit.000040, 1, sim, 1463697959.58, 1463697977.61, 1463697977.61, 1463697978.34, 1463697978.35, 1463698105.88, 1463698105.89,1463698105.9, 1463698215.17, 1463698215.3, 1463698215.44, 1463698215.64, 1463698215.67
unit.000041, 1, sim, 1463697959.58, 1463697977.67, 1463697977.67, 1463697978.38, 1463697978.39, 1463698106.88, 1463698106.89,1463698106.94, 1463698216.12, 1463698216.21, 1463698216.29, 1463698216.74, 1463698216.77
unit.000042, 1, sim, 1463697959.58, 1463697977.81, 1463697977.81, 1463697978.49, 1463697978.5, 1463698109.37, 1463698109.38,1463698109.39, 1463698217.93, 1463698217.94, 1463698218.01, 1463698218.98, 1463698219.01
unit.000043, 1, sim, 1463697959.59, 1463697977.96, 1463697977.96, 1463697978.76, 1463697978.77, 1463698111.79, 1463698111.8,1463698111.81, 1463698221.2, 1463698221.21, 1463698221.68, 1463698223.29, 1463698223.32
unit.000044, 1, sim, 1463697959.59, 1463697978.04, 1463697978.04, 1463697978.93, 1463697978.94, 1463698112.62, 1463698112.63,1463698112.64, 1463698227.73, 1463698227.74, 1463698227.76, 1463698228.86, 1463698228.89
unit.000045, 1, sim, 1463697959.59, 1463697978.21, 1463697978.21, 1463697979.03, 1463697979.03, 1463698115.19, 1463698115.21,1463698115.22, 1463698223.94, 1463698223.95, 1463698224.02, 1463698225.55, 1463698225.58
unit.000046, 1, sim, 1463697959.59, 1463697978.33, 1463697978.33, 1463697979.09, 1463697979.11, 1463698116.81, 1463698116.82,1463698116.83, 1463698231.44, 1463698231.45, 1463698231.52, 1463698232.24, 1463698232.27
unit.000047, 1, sim, 1463697959.59, 1463697978.4, 1463697978.4, 1463697979.18, 1463697979.19, 1463698117.89, 1463698117.9,1463698117.91, 1463698227.09, 1463698227.16, 1463698227.21, 1463698227.8, 1463698227.82
