# 640/320, smic 6000 steps

#######

ENMD-core-t-inside cluster.run() call: 2015-10-02 21:42:59.342981
ENMD-core-timing-1: 5.105768
ENMD-appl-timing-0: 0.000421
ENMD-appl-timing-1: 0.002696
ENMD-core-t-before cluster.run() call: 2015-10-02 21:42:59.342782

#######

step,probe,timestamp

allocate,start_time,2015-10-02 17:42:54.244845
allocate,stop_time,2015-10-02 17:42:59.339712
deallocate,start_time,2015-10-02 19:46:32.738925
deallocate,stop_time,2015-10-02 19:46:56.483119

#######

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-02 23:29:46.165701; 2015-10-02 23:29:46.237313; 0.071612
cycle_1; pp_step_enmd_overhead; 2015-10-02 23:29:46.165701; 2015-10-02 23:29:46.237313; 0.071612
cycle_1; ex_step; 2015-10-02 23:29:33.587426; 2015-10-02 23:29:46.165604; 12.578178
cycle_1; ex_step_enmd_overhead; 2015-10-02 23:29:33.587426; 2015-10-02 23:29:33.591061; 0.003635
cycle_1; md_step; 2015-10-02 23:24:16.093035; 2015-10-02 23:29:33.583376; 317.490341
cycle_1; md_step_enmd_overhead; 2015-10-02 23:24:16.093035; 2015-10-02 23:24:18.924649; 2.831614
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000324; 2015-10-02 23:24:23.065000; 2015-10-02 23:24:52.756000; 2015-10-02 23:24:51.701000; 2015-10-02 23:26:58.696000; 2015-10-02 23:29:19.511000; 2015-10-02 23:29:19.538000; cycle_1; md_step
unit.000325; 2015-10-02 23:24:23.065000; 2015-10-02 23:24:45.812000; 2015-10-02 23:24:44.858000; 2015-10-02 23:24:44.885000; 2015-10-02 23:27:04.321000; 2015-10-02 23:27:04.345000; cycle_1; md_step
unit.000328; 2015-10-02 23:24:23.069000; 2015-10-02 23:24:51.034000; 2015-10-02 23:24:49.981000; 2015-10-02 23:26:57.026000; 2015-10-02 23:29:18.066000; 2015-10-02 23:29:18.111000; cycle_1; md_step
unit.000329; 2015-10-02 23:24:23.070000; 2015-10-02 23:24:51.692000; 2015-10-02 23:24:50.620000; 2015-10-02 23:26:57.672000; 2015-10-02 23:29:18.611000; 2015-10-02 23:29:18.636000; cycle_1; md_step
unit.000531; 2015-10-02 23:24:23.244000; 2015-10-02 23:24:54.543000; 2015-10-02 23:24:53.615000; 2015-10-02 23:27:00.167000; 2015-10-02 23:29:20.616000; 2015-10-02 23:29:20.650000; cycle_1; md_step
unit.000106; 2015-10-02 23:24:22.873000; 2015-10-02 23:24:44.406000; 2015-10-02 23:24:43.373000; 2015-10-02 23:24:43.402000; 2015-10-02 23:27:03.512000; 2015-10-02 23:27:03.540000; cycle_1; md_step
unit.000107; 2015-10-02 23:24:22.874000; 2015-10-02 23:24:44.482000; 2015-10-02 23:24:43.547000; 2015-10-02 23:24:43.578000; 2015-10-02 23:27:03.561000; 2015-10-02 23:27:03.585000; cycle_1; md_step
unit.000104; 2015-10-02 23:24:22.872000; 2015-10-02 23:24:44.273000; 2015-10-02 23:24:43.358000; 2015-10-02 23:24:43.389000; 2015-10-02 23:27:03.438000; 2015-10-02 23:27:03.465000; cycle_1; md_step
unit.000105; 2015-10-02 23:24:22.872000; 2015-10-02 23:24:44.346000; 2015-10-02 23:24:43.364000; 2015-10-02 23:24:43.389000; 2015-10-02 23:27:03.456000; 2015-10-02 23:27:03.489000; cycle_1; md_step
unit.000102; 2015-10-02 23:24:22.869000; 2015-10-02 23:24:44.063000; 2015-10-02 23:24:43.156000; 2015-10-02 23:24:43.196000; 2015-10-02 23:27:03.292000; 2015-10-02 23:27:03.323000; cycle_1; md_step
