
allocate,start_time,2015-11-20 12:14:52.933362
allocate,stop_time,2015-11-20 12:14:57.046165


Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; pp_step_enmd_overhead; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; ex_step; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:52.188766; 22.2364
cycle_1; ex_step_enmd_overhead; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:29.956361; 0.003995
cycle_1; md_step; 2015-11-20 17:15:42.213394; 2015-11-20 22:09:29.939982; 17627.726588
cycle_1; md_step_enmd_overhead; 2015-11-20 17:15:42.213394; 2015-11-20 17:15:51.619099; 9.405705
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000325; 2015-11-20 17:16:08.472000; 2015-11-20 17:16:50.673000; 2015-11-20 17:16:51.058000; 2015-11-20 18:22:28.266000; 2015-11-20 18:24:45.558000; 2015-11-20 18:24:45.569000; cycle_1; md_step
unit.000328; 2015-11-20 17:16:08.474000; 2015-11-20 17:16:50.915000; 2015-11-20 17:16:51.299000; 2015-11-20 18:22:30.835000; 2015-11-20 18:24:46.609000; 2015-11-20 18:24:46.692000; cycle_1; md_step
unit.000329; 2015-11-20 17:16:08.475000; 2015-11-20 17:16:51.054000; 2015-11-20 17:16:51.542000; 2015-11-20 18:22:37.927000; 2015-11-20 18:24:55.203000; 2015-11-20 18:24:55.215000; cycle_1; md_step
unit.000669; 2015-11-20 17:16:08.794000; 2015-11-20 17:16:35.884000; 2015-11-20 17:16:36.370000; 2015-11-20 17:46:14.290000; 2015-11-20 17:48:32.763000; 2015-11-20 17:48:32.810000; cycle_1; md_step
unit.000668; 2015-11-20 17:16:08.793000; 2015-11-20 17:16:35.522000; 2015-11-20 17:16:35.904000; 2015-11-20 17:46:07.527000; 2015-11-20 17:48:24.963000; 2015-11-20 17:48:24.973000; cycle_1; md_step
unit.000667; 2015-11-20 17:16:08.792000; 2015-11-20 17:16:35.450000; 2015-11-20 17:16:35.900000; 2015-11-20 17:46:07.222000; 2015-11-20 17:48:22.805000; 2015-11-20 17:48:22.870000; cycle_1; md_step
unit.000666; 2015-11-20 17:16:08.791000; 2015-11-20 17:17:39.542000; 2015-11-20 17:17:40.033000; 2015-11-20 20:12:48.416000; 2015-11-20 20:15:05.501000; 2015-11-20 20:15:05.567000; cycle_1; md_step
unit.000665; 2015-11-20 17:16:08.789000; 2015-11-20 17:16:35.416000; 2015-11-20 17:16:35.892000; 2015-11-20 17:46:03.465000; 2015-11-20 17:48:20.608000; 2015-11-20 17:48:20.618000; cycle_1; md_step
unit.000664; 2015-11-20 17:16:08.788000; 2015-11-20 17:16:35.323000; 2015-11-20 17:16:35.648000; 2015-11-20 17:46:01.653000; 2015-11-20 17:48:17.161000; 2015-11-20 17:48:17.193000; cycle_1; md_step
unit.000663; 2015-11-20 17:16:08.787000; 2015-11-20 17:16:35.151000; 2015-11-20 17:16:35.637000; 2015-11-20 17:43:55.728000; 2015-11-20 17:46:16.068000; 2015-11-20 17:46:16.081000; cycle_1; md_step
