Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-06 12:28:59.094417; 2015-11-06 12:28:59.094428; 1.1e-05
cycle_1; pp_step_enmd_overhead; 2015-11-06 12:28:59.094417; 2015-11-06 12:28:59.094428; 1.1e-05
cycle_1; ex_step; 2015-11-06 12:27:52.901945; 2015-11-06 12:28:59.093850; 66.191905
cycle_1; ex_step_enmd_overhead; 2015-11-06 12:27:52.901945; 2015-11-06 12:27:53.513294; 0.611349
cycle_1; md_step; 2015-11-06 12:26:22.206271; 2015-11-06 12:27:52.901421; 90.69515
cycle_1; md_step_enmd_overhead; 2015-11-06 12:26:22.206271; 2015-11-06 12:26:22.897310; 0.691039
CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000148; 1446812874.48; 1446812925.59; 1446812927.29; 1446812927.55; 1446812929.39; 1446812934.25; cycle_1; ex_step
unit.000149; 1446812874.48; 1446812925.8; 1446812927.56; 1446812927.69; 1446812929.59; 1446812934.26; cycle_1; ex_step
unit.000142; 1446812874.47; 1446812922.34; 1446812924.02; 1446812924.23; 1446812926.07; 1446812930.95; cycle_1; ex_step
unit.000143; 1446812874.47; 1446812922.8; 1446812924.34; 1446812924.54; 1446812926.37; 1446812931.01; cycle_1; ex_step
unit.000140; 1446812874.47; 1446812921.35; 1446812922.89; 1446812923.09; 1446812924.97; 1446812929.85; cycle_1; ex_step
unit.000141; 1446812874.47; 1446812921.77; 1446812923.37; 1446812923.57; 1446812925.47; 1446812929.92; cycle_1; ex_step
unit.000146; 1446812874.47; 1446812924.51; 1446812926.14; 1446812926.34; 1446812928.18; 1446812933.16; cycle_1; ex_step
unit.000147; 1446812874.48; 1446812924.8; 1446812926.45; 1446812926.66; 1446812928.48; 1446812933.17; cycle_1; ex_step
unit.000144; 1446812874.47; 1446812923.44; 1446812924.99; 1446812925.19; 1446812926.98; 1446812932.07; cycle_1; ex_step
unit.000145; 1446812874.47; 1446812923.8; 1446812925.3; 1446812925.54; 1446812927.38; 1446812932.09; cycle_1; ex_step
unit.000098; 1446812874.4; 1446812899.45; 1446812901.04; 1446812901.25; 1446812903.08; 1446812906.85; cycle_1; ex_step
unit.000099; 1446812874.4; 1446812900.19; 1446812901.87; 1446812902.07; 1446812903.98; 1446812906.96; cycle_1; ex_step
unit.000159; 1446812874.5; 1446812875.31; 1446812877.75; 1446812877.95; 1446812879.8; 1446812886.36; cycle_1; ex_step
unit.000158; 1446812874.5; 1446812875.31; 1446812878.06; 1446812878.26; 1446812880.1; 1446812885.17; cycle_1; ex_step
unit.000096; 1446812874.4; 1446812898.45; 1446812900.01; 1446812900.21; 1446812902.08; 1446812905.77; cycle_1; ex_step
unit.000097; 1446812874.4; 1446812899.12; 1446812900.73; 1446812900.93; 1446812902.78; 1446812905.86; cycle_1; ex_step
unit.000151; 1446812874.48; 1446812926.81; 1446812928.56; 1446812928.73; 1446812930.63; 1446812935.34; cycle_1; ex_step
unit.000150; 1446812874.48; 1446812926.65; 1446812928.21; 1446812928.42; 1446812930.19; 1446812935.33; cycle_1; ex_step
unit.000153; 1446812874.49; 1446812927.85; 1446812929.56; 1446812929.76; 1446812931.7; 1446812936.43; cycle_1; ex_step
unit.000152; 1446812874.49; 1446812927.73; 1446812929.35; 1446812929.56; 1446812931.49; 1446812936.42; cycle_1; ex_step
