uid, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done
unit.000012, step_1, 2015-09-29 03:06:23.333000, 2015-09-29 03:06:27.339000, 2015-09-29 03:06:27.540000, 2015-09-29 03:06:27.621000, 2015-09-29 03:06:29.527000, 2015-09-29 03:06:31.143000
unit.000013, step_1, 2015-09-29 03:06:23.343000, 2015-09-29 03:06:27.328000, 2015-09-29 03:06:27.533000, 2015-09-29 03:06:27.574000, 2015-09-29 03:06:29.421000, 2015-09-29 03:06:30.111000
unit.000014, step_1, 2015-09-29 03:06:23.345000, 2015-09-29 03:06:27.326000, 2015-09-29 03:06:27.532000, 2015-09-29 03:06:27.566000, 2015-09-29 03:06:29.526000, 2015-09-29 03:06:31.141000
unit.000015, step_1, 2015-09-29 03:06:23.346000, 2015-09-29 03:06:27.355000, 2015-09-29 03:06:27.549000, 2015-09-29 03:06:27.695000, 2015-09-29 03:06:30.235000, 2015-09-29 03:06:31.170000
unit.000016, step_1, 2015-09-29 03:06:23.348000, 2015-09-29 03:06:24.092000, 2015-09-29 03:06:27.735000, 2015-09-29 03:06:27.756000, 2015-09-29 03:06:30.337000, 2015-09-29 03:06:31.178000
unit.000017, step_1, 2015-09-29 03:06:23.349000, 2015-09-29 03:06:27.366000, 2015-09-29 03:06:27.736000, 2015-09-29 03:06:27.764000, 2015-09-29 03:06:30.339000, 2015-09-29 03:06:31.186000
unit.000018, step_1, 2015-09-29 03:06:23.355000, 2015-09-29 03:06:27.330000, 2015-09-29 03:06:27.535000, 2015-09-29 03:06:27.582000, 2015-09-29 03:06:29.528000, 2015-09-29 03:06:31.146000
unit.000019, step_1, 2015-09-29 03:06:23.356000, 2015-09-29 03:06:24.084000, 2015-09-29 03:06:27.528000, 2015-09-29 03:06:27.541000, 2015-09-29 03:06:29.424000, 2015-09-29 03:06:30.129000
unit.000020, step_1, 2015-09-29 03:06:23.358000, 2015-09-29 03:06:27.379000, 2015-09-29 03:06:27.739000, 2015-09-29 03:06:27.796000, 2015-09-29 03:06:30.338000, 2015-09-29 03:06:31.179000
unit.000021, step_1, 2015-09-29 03:06:23.360000, 2015-09-29 03:06:27.375000, 2015-09-29 03:06:27.737000, 2015-09-29 03:06:27.780000, 2015-09-29 03:06:30.235000, 2015-09-29 03:06:31.170000
unit.000022, step_1, 2015-09-29 03:06:23.361000, 2015-09-29 03:06:27.322000, 2015-09-29 03:06:27.529000, 2015-09-29 03:06:27.550000, 2015-09-29 03:06:29.416000, 2015-09-29 03:06:30.111000
unit.000023, step_1, 2015-09-29 03:06:23.363000, 2015-09-29 03:06:27.381000, 2015-09-29 03:06:27.740000, 2015-09-29 03:06:27.804000, 2015-09-29 03:06:30.339000, 2015-09-29 03:06:31.189000
unit.000024, step_1, 2015-09-29 03:06:23.364000, 2015-09-29 03:06:27.337000, 2015-09-29 03:06:27.539000, 2015-09-29 03:06:27.613000, 2015-09-29 03:06:29.529000, 2015-09-29 03:06:31.151000
unit.000025, step_1, 2015-09-29 03:06:23.366000, 2015-09-29 03:06:27.333000, 2015-09-29 03:06:27.537000, 2015-09-29 03:06:27.598000, 2015-09-29 03:06:29.422000, 2015-09-29 03:06:30.126000
unit.000026, step_1, 2015-09-29 03:06:23.367000, 2015-09-29 03:06:27.335000, 2015-09-29 03:06:27.537000, 2015-09-29 03:06:27.606000, 2015-09-29 03:06:29.424000, 2015-09-29 03:06:30.130000
unit.000027, step_1, 2015-09-29 03:06:23.369000, 2015-09-29 03:06:27.346000, 2015-09-29 03:06:27.544000, 2015-09-29 03:06:27.652000, 2015-09-29 03:06:29.527000, 2015-09-29 03:06:31.143000
unit.000028, step_1, 2015-09-29 03:06:23.371000, 2015-09-29 03:06:27.344000, 2015-09-29 03:06:27.543000, 2015-09-29 03:06:27.645000, 2015-09-29 03:06:29.423000, 2015-09-29 03:06:30.128000
unit.000029, step_1, 2015-09-29 03:06:23.372000, 2015-09-29 03:06:27.351000, 2015-09-29 03:06:27.547000, 2015-09-29 03:06:27.680000, 2015-09-29 03:06:30.234000, 2015-09-29 03:06:31.164000
unit.000030, step_1, 2015-09-29 03:06:23.374000, 2015-09-29 03:06:27.349000, 2015-09-29 03:06:27.546000, 2015-09-29 03:06:27.668000, 2015-09-29 03:06:30.232000, 2015-09-29 03:06:31.152000
unit.000031, step_1, 2015-09-29 03:06:23.375000, 2015-09-29 03:06:27.340000, 2015-09-29 03:06:27.541000, 2015-09-29 03:06:27.629000, 2015-09-29 03:06:29.422000, 2015-09-29 03:06:30.127000
unit.000032, step_1, 2015-09-29 03:06:23.377000, 2015-09-29 03:06:27.331000, 2015-09-29 03:06:27.536000, 2015-09-29 03:06:27.590000, 2015-09-29 03:06:29.527000, 2015-09-29 03:06:31.141000
unit.000033, step_1, 2015-09-29 03:06:23.379000, 2015-09-29 03:06:27.324000, 2015-09-29 03:06:27.530000, 2015-09-29 03:06:27.558000, 2015-09-29 03:06:29.425000, 2015-09-29 03:06:30.130000
unit.000034, step_2, 2015-09-29 03:06:31.967000, 2015-09-29 03:06:32.435000, 2015-09-29 03:06:32.783000, 2015-09-29 03:06:32.943000, 2015-09-29 03:06:35.171000, 2015-09-29 03:06:48.035000
unit.000035, step_2, 2015-09-29 03:06:31.969000, 2015-09-29 03:06:32.413000, 2015-09-29 03:06:32.763000, 2015-09-29 03:06:32.824000, 2015-09-29 03:06:35.173000, 2015-09-29 03:06:42.678000
unit.000036, step_2, 2015-09-29 03:06:31.973000, 2015-09-29 03:06:32.405000, 2015-09-29 03:06:32.755000, 2015-09-29 03:06:32.791000, 2015-09-29 03:06:35.164000, 2015-09-29 03:06:40.859000
unit.000037, step_2, 2015-09-29 03:06:31.975000, 2015-09-29 03:06:32.442000, 2015-09-29 03:06:32.788000, 2015-09-29 03:06:33.011000, 2015-09-29 03:06:35.275000, 2015-09-29 03:06:49.804000
unit.000038, step_2, 2015-09-29 03:06:31.977000, 2015-09-29 03:06:32.407000, 2015-09-29 03:06:32.757000, 2015-09-29 03:06:32.800000, 2015-09-29 03:06:35.169000, 2015-09-29 03:06:41.626000
unit.000039, step_2, 2015-09-29 03:06:31.983000, 2015-09-29 03:06:32.439000, 2015-09-29 03:06:32.786000, 2015-09-29 03:06:32.974000, 2015-09-29 03:06:35.168000, 2015-09-29 03:06:48.924000
unit.000040, step_2, 2015-09-29 03:06:31.985000, 2015-09-29 03:06:32.402000, 2015-09-29 03:06:32.751000, 2015-09-29 03:06:32.776000, 2015-09-29 03:06:35.163000, 2015-09-29 03:06:39.071000
unit.000041, step_2, 2015-09-29 03:06:31.990000, 2015-09-29 03:06:32.400000, 2015-09-29 03:06:32.749000, 2015-09-29 03:06:32.768000, 2015-09-29 03:06:35.169000, 2015-09-29 03:06:40.694000
unit.000042, step_2, 2015-09-29 03:06:31.992000, 2015-09-29 03:06:32.397000, 2015-09-29 03:06:32.747000, 2015-09-29 03:06:32.758000, 2015-09-29 03:06:35.163000, 2015-09-29 03:06:38.108000
unit.000043, step_2, 2015-09-29 03:06:31.997000, 2015-09-29 03:06:32.404000, 2015-09-29 03:06:32.753000, 2015-09-29 03:06:32.784000, 2015-09-29 03:06:35.171000, 2015-09-29 03:06:39.965000
unit.000044, step_2, 2015-09-29 03:06:31.998000, 2015-09-29 03:06:32.455000, 2015-09-29 03:06:32.795000, 2015-09-29 03:06:33.115000, 2015-09-29 03:06:35.379000, 2015-09-29 03:06:52.317000
unit.000045, step_2, 2015-09-29 03:06:32, 2015-09-29 03:06:32.450000, 2015-09-29 03:06:32.791000, 2015-09-29 03:06:33.047000, 2015-09-29 03:06:35.378000, 2015-09-29 03:06:50.683000
unit.000046, step_2, 2015-09-29 03:06:32.001000, 2015-09-29 03:06:32.459000, 2015-09-29 03:06:32.797000, 2015-09-29 03:06:33.150000, 2015-09-29 03:06:35.480000, 2015-09-29 03:06:53.201000
unit.000047, step_2, 2015-09-29 03:06:32.011000, 2015-09-29 03:06:32.411000, 2015-09-29 03:06:32.761000, 2015-09-29 03:06:32.816000, 2015-09-29 03:06:35.059000, 2015-09-29 03:06:42.516000
unit.000048, step_2, 2015-09-29 03:06:32.013000, 2015-09-29 03:06:32.445000, 2015-09-29 03:06:32.789000, 2015-09-29 03:06:33.021000, 2015-09-29 03:06:35.277000, 2015-09-29 03:06:50.510000
unit.000049, step_2, 2015-09-29 03:06:32.014000, 2015-09-29 03:06:32.427000, 2015-09-29 03:06:32.777000, 2015-09-29 03:06:32.889000, 2015-09-29 03:06:35.170000, 2015-09-29 03:06:46.255000
unit.000050, step_2, 2015-09-29 03:06:32.022000, 2015-09-29 03:06:32.431000, 2015-09-29 03:06:32.780000, 2015-09-29 03:06:32.908000, 2015-09-29 03:06:35.173000, 2015-09-29 03:06:47.152000
unit.000051, step_2, 2015-09-29 03:06:32.024000, 2015-09-29 03:06:32.441000, 2015-09-29 03:06:32.787000, 2015-09-29 03:06:32.988000, 2015-09-29 03:06:35.276000, 2015-09-29 03:06:49.619000
unit.000052, step_2, 2015-09-29 03:06:32.026000, 2015-09-29 03:06:32.437000, 2015-09-29 03:06:32.784000, 2015-09-29 03:06:32.954000, 2015-09-29 03:06:35.274000, 2015-09-29 03:06:48.735000
unit.000053, step_2, 2015-09-29 03:06:32.027000, 2015-09-29 03:06:32.433000, 2015-09-29 03:06:32.782000, 2015-09-29 03:06:32.925000, 2015-09-29 03:06:35.167000, 2015-09-29 03:06:47.845000
unit.000054, step_2, 2015-09-29 03:06:32.029000, 2015-09-29 03:06:32.429000, 2015-09-29 03:06:32.778000, 2015-09-29 03:06:32.897000, 2015-09-29 03:06:35.167000, 2015-09-29 03:06:46.964000
unit.000055, step_2, 2015-09-29 03:06:32.030000, 2015-09-29 03:06:32.426000, 2015-09-29 03:06:32.775000, 2015-09-29 03:06:32.881000, 2015-09-29 03:06:35.166000, 2015-09-29 03:06:46.070000
unit.000056, step_2, 2015-09-29 03:06:32.032000, 2015-09-29 03:06:32.422000, 2015-09-29 03:06:32.772000, 2015-09-29 03:06:32.864000, 2015-09-29 03:06:35.166000, 2015-09-29 03:06:45.181000
unit.000057, step_2, 2015-09-29 03:06:32.042000, 2015-09-29 03:06:32.418000, 2015-09-29 03:06:32.768000, 2015-09-29 03:06:32.848000, 2015-09-29 03:06:35.170000, 2015-09-29 03:06:44.296000
unit.000058, step_2, 2015-09-29 03:06:32.044000, 2015-09-29 03:06:32.424000, 2015-09-29 03:06:32.774000, 2015-09-29 03:06:32.872000, 2015-09-29 03:06:35.172000, 2015-09-29 03:06:45.368000
unit.000059, step_2, 2015-09-29 03:06:32.045000, 2015-09-29 03:06:32.420000, 2015-09-29 03:06:32.770000, 2015-09-29 03:06:32.856000, 2015-09-29 03:06:35.062000, 2015-09-29 03:06:44.485000
unit.000060, step_2, 2015-09-29 03:06:32.050000, 2015-09-29 03:06:32.453000, 2015-09-29 03:06:32.793000, 2015-09-29 03:06:33.099000, 2015-09-29 03:06:35.277000, 2015-09-29 03:06:51.574000
unit.000061, step_2, 2015-09-29 03:06:32.051000, 2015-09-29 03:06:32.415000, 2015-09-29 03:06:32.764000, 2015-09-29 03:06:32.831000, 2015-09-29 03:06:35.165000, 2015-09-29 03:06:43.409000
unit.000062, step_2, 2015-09-29 03:06:32.053000, 2015-09-29 03:06:32.409000, 2015-09-29 03:06:32.759000, 2015-09-29 03:06:32.808000, 2015-09-29 03:06:35.164000, 2015-09-29 03:06:41.791000
unit.000063, step_2, 2015-09-29 03:06:32.063000, 2015-09-29 03:06:32.417000, 2015-09-29 03:06:32.766000, 2015-09-29 03:06:32.840000, 2015-09-29 03:06:35.061000, 2015-09-29 03:06:43.593000
unit.000064, step_2, 2015-09-29 03:06:32.065000, 2015-09-29 03:06:32.451000, 2015-09-29 03:06:32.792000, 2015-09-29 03:06:33.078000, 2015-09-29 03:06:35.275000, 2015-09-29 03:06:51.427000
unit.000065, step_2, 2015-09-29 03:06:32.067000, 2015-09-29 03:06:32.457000, 2015-09-29 03:06:32.796000, 2015-09-29 03:06:33.134000, 2015-09-29 03:06:35.881000, 2015-09-29 03:06:52.457000
