CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000236; 1446814240.24; 1446814270.23; 1446814271.89; 1446814272.09; 1446814274.06; 1446814277.9; cycle_1; ex_step
unit.000237; 1446814240.24; 1446814270.39; 1446814272.09; 1446814272.29; 1446814274.26; 1446814278.9; cycle_1; ex_step
unit.000238; 1446814240.24; 1446814271.24; 1446814272.82; 1446814273.02; 1446814274.96; 1446814278.98; cycle_1; ex_step
unit.000239; 1446814240.25; 1446814271.46; 1446814273.13; 1446814273.34; 1446814275.16; 1446814279.99; cycle_1; ex_step
unit.000378; 1446814240.47; 1446814349.06; 1446814350.75; 1446814350.95; 1446814352.76; 1446814357.81; cycle_1; ex_step
unit.000331; 1446814240.4; 1446814321.18; 1446814323.25; 1446814323.45; 1446814325.26; 1446814332.23; cycle_1; ex_step
unit.000330; 1446814240.39; 1446814321.01; 1446814323.04; 1446814323.28; 1446814325.06; 1446814331.13; cycle_1; ex_step
unit.000333; 1446814240.4; 1446814322.52; 1446814324.75; 1446814324.95; 1446814327.36; 1446814333.32; cycle_1; ex_step
unit.000332; 1446814240.4; 1446814322.51; 1446814324.55; 1446814324.75; 1446814327.26; 1446814332.33; cycle_1; ex_step
unit.000335; 1446814240.4; 1446814324.03; 1446814325.75; 1446814326.0; 1446814328.67; 1446814334.44; cycle_1; ex_step
unit.000334; 1446814240.4; 1446814323.88; 1446814325.43; 1446814325.63; 1446814328.57; 1446814333.42; cycle_1; ex_step
unit.000337; 1446814240.41; 1446814325.12; 1446814327.32; 1446814327.52; 1446814329.37; 1446814335.59; cycle_1; ex_step
unit.000336; 1446814240.4; 1446814324.89; 1446814326.82; 1446814327.02; 1446814328.97; 1446814334.55; cycle_1; ex_step
unit.000339; 1446814240.41; 1446814326.75; 1446814328.9; 1446814329.15; 1446814330.98; 1446814336.68; cycle_1; ex_step
unit.000326; 1446814240.39; 1446814318.87; 1446814320.58; 1446814320.78; 1446814322.65; 1446814328.88; cycle_1; ex_step
unit.000327; 1446814240.39; 1446814319.19; 1446814320.89; 1446814321.09; 1446814322.95; 1446814329.93; cycle_1; ex_step
unit.000227; 1446814240.23; 1446814264.84; 1446814266.62; 1446814266.82; 1446814268.64; 1446814273.4; cycle_1; ex_step
