uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000034, step_2, 2015-10-09 16:43:40.142000, 2015-10-09 16:43:41.470000, 2015-10-09 16:43:41.809000, 2015-10-09 16:43:41.955000, 2015-10-09 16:44:01.665000, 2015-10-09 16:44:13.466000
unit.000035, step_2, 2015-10-09 16:43:40.144000, 2015-10-09 16:43:41.511000, 2015-10-09 16:43:41.837000, 2015-10-09 16:43:42.218000, 2015-10-09 16:44:01.769000, 2015-10-09 16:44:19.808000
unit.000036, step_2, 2015-10-09 16:43:40.156000, 2015-10-09 16:43:41.506000, 2015-10-09 16:43:41.831000, 2015-10-09 16:43:42.167000, 2015-10-09 16:44:01.563000, 2015-10-09 16:44:18.642000
unit.000037, step_2, 2015-10-09 16:43:40.158000, 2015-10-09 16:43:41.423000, 2015-10-09 16:43:41.774000, 2015-10-09 16:43:41.805000, 2015-10-09 16:44:01.354000, 2015-10-09 16:44:07.117000
unit.000038, step_2, 2015-10-09 16:43:40.166000, 2015-10-09 16:43:41.478000, 2015-10-09 16:43:41.817000, 2015-10-09 16:43:42.009000, 2015-10-09 16:44:01.560000, 2015-10-09 16:44:15.012000
unit.000039, step_2, 2015-10-09 16:43:40.168000, 2015-10-09 16:43:41.490000, 2015-10-09 16:43:41.823000, 2015-10-09 16:43:42.066000, 2015-10-09 16:44:01.561000, 2015-10-09 16:44:16.189000
unit.000040, step_2, 2015-10-09 16:43:40.169000, 2015-10-09 16:43:41.498000, 2015-10-09 16:43:41.826000, 2015-10-09 16:43:42.105000, 2015-10-09 16:44:01.562000, 2015-10-09 16:44:17.129000
unit.000041, step_2, 2015-10-09 16:43:40.179000, 2015-10-09 16:43:41.503000, 2015-10-09 16:43:41.828000, 2015-10-09 16:43:42.124000, 2015-10-09 16:44:01.563000, 2015-10-09 16:44:17.758000
unit.000042, step_2, 2015-10-09 16:43:40.190000, 2015-10-09 16:43:41.424000, 2015-10-09 16:43:41.776000, 2015-10-09 16:43:41.815000, 2015-10-09 16:44:01.459000, 2015-10-09 16:44:08.027000
unit.000043, step_2, 2015-10-09 16:43:40.192000, 2015-10-09 16:43:41.476000, 2015-10-09 16:43:41.813000, 2015-10-09 16:43:41.992000, 2015-10-09 16:44:01.353000, 2015-10-09 16:44:14.393000
unit.000044, step_2, 2015-10-09 16:43:40.194000, 2015-10-09 16:43:41.504000, 2015-10-09 16:43:41.830000, 2015-10-09 16:43:42.138000, 2015-10-09 16:44:01.666000, 2015-10-09 16:44:18.032000
unit.000045, step_2, 2015-10-09 16:43:40.195000, 2015-10-09 16:43:41.509000, 2015-10-09 16:43:41.833000, 2015-10-09 16:43:42.181000, 2015-10-09 16:44:01.564000, 2015-10-09 16:44:18.924000
